order_id,order_date,customer,amount
1000,2026-01-01,cust_0,760.76
1001,2026-01-02,cust_1,683.37
1002,2026-01-03,cust_2,381.41
1003,2026-01-04,cust_3,236.73
1004,2026-01-05,cust_4,462.59
1005,2026-01-06,cust_5,367.42
1006,2026-01-07,cust_6,706.5
1007,2026-01-08,cust_7,276.46
1008,2026-01-09,cust_8,431.55
1009,2026-01-10,cust_9,527.13
1010,2026-01-11,cust_10,817.76
1011,2026-01-12,cust_11,456.69
1012,2026-01-13,cust_12,257.24
1013,2026-01-14,cust_13,681.44
1014,2026-01-15,cust_14,558.44
1015,2026-01-16,cust_15,229.2
1016,2026-01-17,cust_16,819.22
1017,2026-01-18,cust_17,884.59
1018,2026-01-19,cust_18,730.14
1019,2026-01-20,cust_19,812.44
1020,2026-01-21,cust_20,282.58
1021,2026-01-22,cust_21,658.2
1022,2026-01-23,cust_22,809.46
1023,2026-01-24,cust_23,617.17
1024,2026-01-25,cust_24,427.57
1025,2026-01-26,cust_0,95.13
1026,2026-01-27,cust_1,393.58
1027,2026-01-28,cust_2,551.74
1028,2026-01-29,cust_3,822.14
1029,2026-01-30,cust_4,870.11
1030,2026-01-31,cust_5,431.92
1031,2026-02-01,cust_6,779.45
1032,2026-02-02,cust_7,238.14
1033,2026-02-03,cust_8,725.5
1034,2026-02-04,cust_9,496.09
1035,2026-02-05,cust_10,17.57
1036,2026-02-06,cust_11,649.14
1037,2026-02-07,cust_12,361.95
1038,2026-02-08,cust_13,743.24
1039,2026-02-09,cust_14,603.0
1040,2026-02-10,cust_15,6.02
1041,2026-02-11,cust_16,446.75
1042,2026-02-12,cust_17,781.5
1043,2026-02-13,cust_18,223.3
1044,2026-02-14,cust_19,296.06
1045,2026-02-15,cust_20,784.07
1046,2026-02-16,cust_21,176.01
1047,2026-02-17,cust_22,512.92
1048,2026-02-18,cust_23,218.56
1049,2026-02-19,cust_24,870.95
1050,2026-02-20,cust_0,723.85
1051,2026-02-21,cust_1,405.93
1052,2026-02-22,cust_2,77.0
1053,2026-02-23,cust_3,291.45
1054,2026-02-24,cust_4,459.61
1055,2026-02-25,cust_5,839.89
1056,2026-02-26,cust_6,102.61
